Usuário - redes sociais,URLs_Separadas,URLs_Padronizadas,LinkedIn_Usernames,Redes_Sociais_Classificadas,LinkedIn_Principal,Outras_Redes_Sociais,URLs_Validas,Rede_Social_Principal
https://www.linkedin.com/in/agne-navikiene-9616081b0,['https://www.linkedin.com/in/agne-navikiene-9616081b0'],['https://linkedin.com/in/agne-navikiene-9616081b0'],['agne-navikiene-9616081b0'],{'linkedin': ['https://linkedin.com/in/agne-navikiene-9616081b0']},https://linkedin.com/in/agne-navikiene-9616081b0,[],['https://linkedin.com/in/agne-navikiene-9616081b0'],https://linkedin.com/in/agne-navikiene-9616081b0
https://www.linkedin.com/in/agne-navikiene-9616081b0,['https://www.linkedin.com/in/agne-navikiene-9616081b0'],['https://linkedin.com/in/agne-navikiene-9616081b0'],['agne-navikiene-9616081b0'],{'linkedin': ['https://linkedin.com/in/agne-navikiene-9616081b0']},https://linkedin.com/in/agne-navikiene-9616081b0,[],['https://linkedin.com/in/agne-navikiene-9616081b0'],https://linkedin.com/in/agne-navikiene-9616081b0
https://www.linkedin.com/in/laura--matthews,['https://www.linkedin.com/in/laura--matthews'],['https://linkedin.com/in/laura--matthews'],['laura--matthews'],{'linkedin': ['https://linkedin.com/in/laura--matthews']},https://linkedin.com/in/laura--matthews,[],['https://linkedin.com/in/laura--matthews'],https://linkedin.com/in/laura--matthews
,[],[],[],{},,[],[],
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/christian-masiak-9b4b47159,['https://www.linkedin.com/in/christian-masiak-9b4b47159'],['https://linkedin.com/in/christian-masiak-9b4b47159'],['christian-masiak-9b4b47159'],{'linkedin': ['https://linkedin.com/in/christian-masiak-9b4b47159']},https://linkedin.com/in/christian-masiak-9b4b47159,[],['https://linkedin.com/in/christian-masiak-9b4b47159'],https://linkedin.com/in/christian-masiak-9b4b47159
https://www.linkedin.com/in/andre-markiewicz,['https://www.linkedin.com/in/andre-markiewicz'],['https://linkedin.com/in/andre-markiewicz'],['andre-markiewicz'],{'linkedin': ['https://linkedin.com/in/andre-markiewicz']},https://linkedin.com/in/andre-markiewicz,[],['https://linkedin.com/in/andre-markiewicz'],https://linkedin.com/in/andre-markiewicz
https://www.linkedin.com/in/helmut-ziegler-288b873b,['https://www.linkedin.com/in/helmut-ziegler-288b873b'],['https://linkedin.com/in/helmut-ziegler-288b873b'],['helmut-ziegler-288b873b'],{'linkedin': ['https://linkedin.com/in/helmut-ziegler-288b873b']},https://linkedin.com/in/helmut-ziegler-288b873b,[],['https://linkedin.com/in/helmut-ziegler-288b873b'],https://linkedin.com/in/helmut-ziegler-288b873b
https://www.linkedin.com/in/helmut-ziegler-288b873b,['https://www.linkedin.com/in/helmut-ziegler-288b873b'],['https://linkedin.com/in/helmut-ziegler-288b873b'],['helmut-ziegler-288b873b'],{'linkedin': ['https://linkedin.com/in/helmut-ziegler-288b873b']},https://linkedin.com/in/helmut-ziegler-288b873b,[],['https://linkedin.com/in/helmut-ziegler-288b873b'],https://linkedin.com/in/helmut-ziegler-288b873b
https://www.linkedin.com/in/matthew-darnell-5619468,['https://www.linkedin.com/in/matthew-darnell-5619468'],['https://linkedin.com/in/matthew-darnell-5619468'],['matthew-darnell-5619468'],{'linkedin': ['https://linkedin.com/in/matthew-darnell-5619468']},https://linkedin.com/in/matthew-darnell-5619468,[],['https://linkedin.com/in/matthew-darnell-5619468'],https://linkedin.com/in/matthew-darnell-5619468
https://www.linkedin.com/in/jenny-williams-764055b8,['https://www.linkedin.com/in/jenny-williams-764055b8'],['https://linkedin.com/in/jenny-williams-764055b8'],['jenny-williams-764055b8'],{'linkedin': ['https://linkedin.com/in/jenny-williams-764055b8']},https://linkedin.com/in/jenny-williams-764055b8,[],['https://linkedin.com/in/jenny-williams-764055b8'],https://linkedin.com/in/jenny-williams-764055b8
https://www.linkedin.com/in/tonylotta,['https://www.linkedin.com/in/tonylotta'],['https://linkedin.com/in/tonylotta'],['tonylotta'],{'linkedin': ['https://linkedin.com/in/tonylotta']},https://linkedin.com/in/tonylotta,[],['https://linkedin.com/in/tonylotta'],https://linkedin.com/in/tonylotta
https://www.linkedin.com/in/andreas-wüst-9785a4147,['https://www.linkedin.com/in/andreas-wüst-9785a4147'],['https://linkedin.com/in/andreas-wüst-9785a4147'],['andreas-wüst-9785a4147'],{'linkedin': ['https://linkedin.com/in/andreas-wüst-9785a4147']},https://linkedin.com/in/andreas-wüst-9785a4147,[],['https://linkedin.com/in/andreas-wüst-9785a4147'],https://linkedin.com/in/andreas-wüst-9785a4147
https://www.linkedin.com/in/andreas-wüst-9785a4147,['https://www.linkedin.com/in/andreas-wüst-9785a4147'],['https://linkedin.com/in/andreas-wüst-9785a4147'],['andreas-wüst-9785a4147'],{'linkedin': ['https://linkedin.com/in/andreas-wüst-9785a4147']},https://linkedin.com/in/andreas-wüst-9785a4147,[],['https://linkedin.com/in/andreas-wüst-9785a4147'],https://linkedin.com/in/andreas-wüst-9785a4147
https://www.linkedin.com/in/raphael-barbosa-b9a33845,['https://www.linkedin.com/in/raphael-barbosa-b9a33845'],['https://linkedin.com/in/raphael-barbosa-b9a33845'],['raphael-barbosa-b9a33845'],{'linkedin': ['https://linkedin.com/in/raphael-barbosa-b9a33845']},https://linkedin.com/in/raphael-barbosa-b9a33845,[],['https://linkedin.com/in/raphael-barbosa-b9a33845'],https://linkedin.com/in/raphael-barbosa-b9a33845
https://www.linkedin.com/in/raphael-barbosa-b9a33845,['https://www.linkedin.com/in/raphael-barbosa-b9a33845'],['https://linkedin.com/in/raphael-barbosa-b9a33845'],['raphael-barbosa-b9a33845'],{'linkedin': ['https://linkedin.com/in/raphael-barbosa-b9a33845']},https://linkedin.com/in/raphael-barbosa-b9a33845,[],['https://linkedin.com/in/raphael-barbosa-b9a33845'],https://linkedin.com/in/raphael-barbosa-b9a33845
https://www.linkedin.com/in/tal-bar-or-0371986,['https://www.linkedin.com/in/tal-bar-or-0371986'],['https://linkedin.com/in/tal-bar-or-0371986'],['tal-bar-or-0371986'],{'linkedin': ['https://linkedin.com/in/tal-bar-or-0371986']},https://linkedin.com/in/tal-bar-or-0371986,[],['https://linkedin.com/in/tal-bar-or-0371986'],https://linkedin.com/in/tal-bar-or-0371986
https://www.linkedin.com/in/tal-bar-or-0371986,['https://www.linkedin.com/in/tal-bar-or-0371986'],['https://linkedin.com/in/tal-bar-or-0371986'],['tal-bar-or-0371986'],{'linkedin': ['https://linkedin.com/in/tal-bar-or-0371986']},https://linkedin.com/in/tal-bar-or-0371986,[],['https://linkedin.com/in/tal-bar-or-0371986'],https://linkedin.com/in/tal-bar-or-0371986
https://www.linkedin.com/in/tal-bar-or-0371986,['https://www.linkedin.com/in/tal-bar-or-0371986'],['https://linkedin.com/in/tal-bar-or-0371986'],['tal-bar-or-0371986'],{'linkedin': ['https://linkedin.com/in/tal-bar-or-0371986']},https://linkedin.com/in/tal-bar-or-0371986,[],['https://linkedin.com/in/tal-bar-or-0371986'],https://linkedin.com/in/tal-bar-or-0371986
https://www.linkedin.com/in/santa-mukherjee-79168417,['https://www.linkedin.com/in/santa-mukherjee-79168417'],['https://linkedin.com/in/santa-mukherjee-79168417'],['santa-mukherjee-79168417'],{'linkedin': ['https://linkedin.com/in/santa-mukherjee-79168417']},https://linkedin.com/in/santa-mukherjee-79168417,[],['https://linkedin.com/in/santa-mukherjee-79168417'],https://linkedin.com/in/santa-mukherjee-79168417
https://www.linkedin.com/in/santa-mukherjee-79168417,['https://www.linkedin.com/in/santa-mukherjee-79168417'],['https://linkedin.com/in/santa-mukherjee-79168417'],['santa-mukherjee-79168417'],{'linkedin': ['https://linkedin.com/in/santa-mukherjee-79168417']},https://linkedin.com/in/santa-mukherjee-79168417,[],['https://linkedin.com/in/santa-mukherjee-79168417'],https://linkedin.com/in/santa-mukherjee-79168417
"https://www.linkedin.com/in/conorwogan, https://twitter.com/conorwogan, http://www.theproduct.works","['https://www.linkedin.com/in/conorwogan', 'https://twitter.com/conorwogan', 'http://www.theproduct.works']","['https://linkedin.com/in/conorwogan', 'https://twitter.com/conorwogan', 'https://theproduct.works']",['conorwogan'],"{'linkedin': ['https://linkedin.com/in/conorwogan'], 'twitter': ['https://twitter.com/conorwogan'], 'outras': ['https://theproduct.works']}",https://linkedin.com/in/conorwogan,"['https://twitter.com/conorwogan', 'https://theproduct.works']","['https://linkedin.com/in/conorwogan', 'https://twitter.com/conorwogan']",https://linkedin.com/in/conorwogan
https://www.linkedin.com/in/andreas-pehnelt,['https://www.linkedin.com/in/andreas-pehnelt'],['https://linkedin.com/in/andreas-pehnelt'],['andreas-pehnelt'],{'linkedin': ['https://linkedin.com/in/andreas-pehnelt']},https://linkedin.com/in/andreas-pehnelt,[],['https://linkedin.com/in/andreas-pehnelt'],https://linkedin.com/in/andreas-pehnelt
https://www.linkedin.com/in/abraaoferreira,['https://www.linkedin.com/in/abraaoferreira'],['https://linkedin.com/in/abraaoferreira'],['abraaoferreira'],{'linkedin': ['https://linkedin.com/in/abraaoferreira']},https://linkedin.com/in/abraaoferreira,[],['https://linkedin.com/in/abraaoferreira'],https://linkedin.com/in/abraaoferreira
https://www.linkedin.com/in/pedro-m-m-pereira,['https://www.linkedin.com/in/pedro-m-m-pereira'],['https://linkedin.com/in/pedro-m-m-pereira'],['pedro-m-m-pereira'],{'linkedin': ['https://linkedin.com/in/pedro-m-m-pereira']},https://linkedin.com/in/pedro-m-m-pereira,[],['https://linkedin.com/in/pedro-m-m-pereira'],https://linkedin.com/in/pedro-m-m-pereira
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
https://www.linkedin.com/in/david-smith-052a5015b,['https://www.linkedin.com/in/david-smith-052a5015b'],['https://linkedin.com/in/david-smith-052a5015b'],['david-smith-052a5015b'],{'linkedin': ['https://linkedin.com/in/david-smith-052a5015b']},https://linkedin.com/in/david-smith-052a5015b,[],['https://linkedin.com/in/david-smith-052a5015b'],https://linkedin.com/in/david-smith-052a5015b
