Cargo,Cargo_Area,Cargo_Nivel_Hierarquico,Cargo_ID
Purchasing Director,Outras,C-Level/Diretoria,CAR165
Chief Operating officer,Outras,C-Level/Diretoria,CAR166
Vp People & Culture,Outras,Outros,CAR167
Director of IT Managing Technological Needs and R&D,TI,C-Level/Diretoria,CAR168
Founder,Outras,Outros,CAR169
Recruiter At Datasmart,TI,Outros,CAR170
Director Comercial,Outras,C-Level/Diretoria,CAR171
Expansion & Real Estate Director,Outras,C-Level/Diretoria,CAR172
Director of Planning and Logistics,Operações,C-Level/Diretoria,CAR173
Founder & CEO,Outras,C-Level/Diretoria,CAR174
Senior Business Manager,Outras,Gerência,CAR175
Senior Procurement Manager,Outras,Gerência,CAR176
Administradora,Outras,Outros,CAR177
Business Think Manager,Outras,Gerência,CAR178
Operations Manager,Operações,Gerência,CAR179
Director De Proyectos De Ti,Outras,C-Level/Diretoria,CAR180
IT System Cloud,TI,Outros,CAR181
IT Application (Support) Specialist,TI,Coordenação/Especialista,CAR182
General Manager / Owner,Outras,Gerência,CAR183
Senior IT & Digital Talent Acquisition,TI,Outros,CAR184
IT Servicedesk Specialist / System Admin,TI,Coordenação/Especialista,CAR185
IT Operations,TI,Outros,CAR186
IT Support Specialist & Phone/Mobile Expert,TI,Coordenação/Especialista,CAR187
Senior IT Support,TI,Outros,CAR188
Especialista IT En Acens Cloud,TI,Coordenação/Especialista,CAR189
IT-Business Partner,TI,Outros,CAR190
IT Business Partner,TI,Outros,CAR191
IT Account Manager,TI,Gerência,CAR192
Head of Global IT Support,TI,C-Level/Diretoria,CAR193
IT Director Central Europe,TI,C-Level/Diretoria,CAR194
Team Leader IT Service Desk,TI,Gerência,CAR195
IT Recruiter,TI,Outros,CAR196
IT Project Manager,TI,Gerência,CAR197
Technical Director & IT Editor With Total Publishing Network,TI,C-Level/Diretoria,CAR198
IT Talent Consultant,TI,Consultoria,CAR199
IT Recruiter and Employer Branding Specialist,TI,Coordenação/Especialista,CAR200
Head of Data Governance office,TI,C-Level/Diretoria,CAR201
Analista De Sistemas De Ti,Outras,Analista/Júnior,CAR202
Senior Software Engineering Manager,TI,Gerência,CAR203
Responsable Gobierno De IT,TI,Outros,CAR204
IT Infrastructure and Security Solutions Architect,TI,Outros,CAR205
Corporate IT-Sap Aftersales Business Partner,TI,Outros,CAR206
IT Senior Project Manager - Strategy & Transformation - Sap,TI,Gerência,CAR207
Desarrollador Backend Senior Python Erp Odoo,Outras,Outros,CAR208
Coordinador IT/ Desarrollador Backend Erp Odoo,TI,Outros,CAR209
Técnico De Soporte De Ti,Outras,Outros,CAR210
Customer IT Project Manager,TI,Gerência,CAR211
IT Sourcing Specialist,TI,Coordenação/Especialista,CAR212
Chief IT Architect,TI,C-Level/Diretoria,CAR213
Técnico De Asistencia Para Ti,Outras,Outros,CAR214
Jefe Departamento Venta Especialisata Ti Md En AcensPart of Telefónica Tech,TI,Outros,CAR215
IT Development Director,TI,C-Level/Diretoria,CAR216
IT Services Manager,TI,Gerência,CAR217
IT Engineering Director,TI,C-Level/Diretoria,CAR218
Head of Engineering,TI,C-Level/Diretoria,CAR219
IT & Product Digital Marketing Senior Manager,TI,Gerência,CAR220
Metasearch Marketing & Analytics Manager,Dados,Gerência,CAR221
Administrador De Sistemas De Ti,Outras,Outros,CAR222
IT Programe/Project Manager,TI,Gerência,CAR223
IT & Ecommerce Consultant Shopify Developer,TI,Consultoria,CAR224
Ingeniero De Sistemas,Outras,Outros,CAR225
Business Intelligence Portugal,Dados,Outros,CAR226
IT Infrastructure Manager Portugal,TI,Gerência,CAR227
Gerente De Implementacion Batch & Linea,Outras,C-Level/Diretoria,CAR228
Gerente,Outras,Gerência,CAR229
Gestor De Redes Ti,Outras,Outros,CAR230
Tech Recruitment & IT Staffing Delivery Lead,TI,Gerência,CAR231
Ios Developer,TI,Outros,CAR232
Operational Support Engineer,TI,Outros,CAR233
IT Analyst Senior,TI,Analista/Júnior,CAR234
Chief Executive officer and Solutions Developer,TI,C-Level/Diretoria,CAR235
Técnico De Ti,Outras,Outros,CAR236
IT Technician,TI,Outros,CAR237
Consultora De Ti,Outras,Consultoria,CAR238
Director Comercial Proyectos Llave En Mano Segurifad Y Ti,Outras,C-Level/Diretoria,CAR239
IT Specialist,TI,Coordenação/Especialista,CAR240
Control De Proyectos Ti,Outras,C-Level/Diretoria,CAR241
IT Consultant,TI,Consultoria,CAR242
IT Support Specialist,TI,Coordenação/Especialista,CAR243
IT,TI,Outros,CAR244
IT Service Manager,TI,Gerência,CAR245
IT Technician - Systems Administrator,TI,Outros,CAR246
Project Management Coordinator,Outras,Coordenação/Especialista,CAR247
Gerente De Projetos De Ti,Outras,Gerência,CAR248
Marketing Manager - Digital Valley,TI,Gerência,CAR249
Administrador Sistemas,Outras,Outros,CAR250
Co-Founder & IT Systems Administrator,TI,Outros,CAR251
Gestor De Projetos Ti,Outras,Outros,CAR252
Founder / Senior IT Consultant,TI,Consultoria,CAR253
