Empresa - redes sociais,URL_Redes_Sociais_Padronizada,ID_Company_LinkedIn,Tipo_Rede_Social
https://www.linkedin.com/company/1273779,https://www.linkedin.com/company/1273779,1273779,LinkedIn
https://www.linkedin.com/company/1273779,https://www.linkedin.com/company/1273779,1273779,LinkedIn
https://www.linkedin.com/company/11960,https://www.linkedin.com/company/11960,11960,LinkedIn
https://www.linkedin.com/company/11960,https://www.linkedin.com/company/11960,11960,LinkedIn
https://www.linkedin.com/company/669114,https://www.linkedin.com/company/669114,669114,LinkedIn
https://www.linkedin.com/company/669114,https://www.linkedin.com/company/669114,669114,LinkedIn
https://www.linkedin.com/company/13016754,https://www.linkedin.com/company/13016754,13016754,LinkedIn
https://www.linkedin.com/company/13016754,https://www.linkedin.com/company/13016754,13016754,LinkedIn
https://www.linkedin.com/company/276161,https://www.linkedin.com/company/276161,276161,LinkedIn
https://www.linkedin.com/company/1986552,https://www.linkedin.com/company/1986552,1986552,LinkedIn
https://www.linkedin.com/company/242112,https://www.linkedin.com/company/242112,242112,LinkedIn
https://www.linkedin.com/company/242112,https://www.linkedin.com/company/242112,242112,LinkedIn
https://www.linkedin.com/company/210205,https://www.linkedin.com/company/210205,210205,LinkedIn
https://www.linkedin.com/company/10371379,https://www.linkedin.com/company/10371379,10371379,LinkedIn
https://www.linkedin.com/company/10371379,https://www.linkedin.com/company/10371379,10371379,LinkedIn
https://www.linkedin.com/company/2970350,https://www.linkedin.com/company/2970350,2970350,LinkedIn
https://www.linkedin.com/company/2970350,https://www.linkedin.com/company/2970350,2970350,LinkedIn
https://www.linkedin.com/company/2970350,https://www.linkedin.com/company/2970350,2970350,LinkedIn
https://www.linkedin.com/company/14791100,https://www.linkedin.com/company/14791100,14791100,LinkedIn
https://www.linkedin.com/company/14791100,https://www.linkedin.com/company/14791100,14791100,LinkedIn
https://www.linkedin.com/company/14791100,https://www.linkedin.com/company/14791100,14791100,LinkedIn
https://www.linkedin.com/company/1044,https://www.linkedin.com/company/1044,1044,LinkedIn
https://www.linkedin.com/company/15865665,https://www.linkedin.com/company/15865665,15865665,LinkedIn
https://www.linkedin.com/company/5661286,https://www.linkedin.com/company/5661286,5661286,LinkedIn
https://www.linkedin.com/company/16213141,https://www.linkedin.com/company/16213141,16213141,LinkedIn
https://www.linkedin.com/company/39970320,https://www.linkedin.com/company/39970320,39970320,LinkedIn
https://www.linkedin.com/company/39970320,https://www.linkedin.com/company/39970320,39970320,LinkedIn
https://www.linkedin.com/company/1349302,https://www.linkedin.com/company/1349302,1349302,LinkedIn
https://www.linkedin.com/company/1349302,https://www.linkedin.com/company/1349302,1349302,LinkedIn
https://www.linkedin.com/company/78392411,https://www.linkedin.com/company/78392411,78392411,LinkedIn
https://www.linkedin.com/company/9249373,https://www.linkedin.com/company/9249373,9249373,LinkedIn
https://www.linkedin.com/company/3964931,https://www.linkedin.com/company/3964931,3964931,LinkedIn
https://www.linkedin.com/company/3964931,https://www.linkedin.com/company/3964931,3964931,LinkedIn
https://www.linkedin.com/company/35626123,https://www.linkedin.com/company/35626123,35626123,LinkedIn
https://www.linkedin.com/company/1044,https://www.linkedin.com/company/1044,1044,LinkedIn
https://www.linkedin.com/company/5214302,https://www.linkedin.com/company/5214302,5214302,LinkedIn
https://www.linkedin.com/company/79692539,https://www.linkedin.com/company/79692539,79692539,LinkedIn
https://www.linkedin.com/company/18908059,https://www.linkedin.com/company/18908059,18908059,LinkedIn
https://www.linkedin.com/company/18908059,https://www.linkedin.com/company/18908059,18908059,LinkedIn
https://www.linkedin.com/company/76156,https://www.linkedin.com/company/76156,76156,LinkedIn
https://www.linkedin.com/company/76156,https://www.linkedin.com/company/76156,76156,LinkedIn
https://www.linkedin.com/company/76156,https://www.linkedin.com/company/76156,76156,LinkedIn
https://www.linkedin.com/company/76156,https://www.linkedin.com/company/76156,76156,LinkedIn
https://www.linkedin.com/company/76156,https://www.linkedin.com/company/76156,76156,LinkedIn
https://www.linkedin.com/company/9265758,https://www.linkedin.com/company/9265758,9265758,LinkedIn
https://www.linkedin.com/company/28167188,https://www.linkedin.com/company/28167188,28167188,LinkedIn
https://www.linkedin.com/company/10137971,https://www.linkedin.com/company/10137971,10137971,LinkedIn
https://www.linkedin.com/company/10137971,https://www.linkedin.com/company/10137971,10137971,LinkedIn
https://www.linkedin.com/company/2818,https://www.linkedin.com/company/2818,2818,LinkedIn
https://www.linkedin.com/company/36102337,https://www.linkedin.com/company/36102337,36102337,LinkedIn
https://www.linkedin.com/company/307970,https://www.linkedin.com/company/307970,307970,LinkedIn
https://www.linkedin.com/company/1592,https://www.linkedin.com/company/1592,1592,LinkedIn
https://www.linkedin.com/company/1592,https://www.linkedin.com/company/1592,1592,LinkedIn
https://www.linkedin.com/company/208298,https://www.linkedin.com/company/208298,208298,LinkedIn
https://www.linkedin.com/company/101401,https://www.linkedin.com/company/101401,101401,LinkedIn
https://www.linkedin.com/company/1259,https://www.linkedin.com/company/1259,1259,LinkedIn
https://www.linkedin.com/company/2368252,https://www.linkedin.com/company/2368252,2368252,LinkedIn
https://www.linkedin.com/company/125863,https://www.linkedin.com/company/125863,125863,LinkedIn
https://www.linkedin.com/company/18047181,https://www.linkedin.com/company/18047181,18047181,LinkedIn
https://www.linkedin.com/company/843855,https://www.linkedin.com/company/843855,843855,LinkedIn
https://www.linkedin.com/company/35626123,https://www.linkedin.com/company/35626123,35626123,LinkedIn
https://www.linkedin.com/company/11486116,https://www.linkedin.com/company/11486116,11486116,LinkedIn
https://www.linkedin.com/company/451028,https://www.linkedin.com/company/451028,451028,LinkedIn
https://www.linkedin.com/company/1883877,https://www.linkedin.com/company/1883877,1883877,LinkedIn
https://www.linkedin.com/company/18575144,https://www.linkedin.com/company/18575144,18575144,LinkedIn
https://www.linkedin.com/company/65892858,https://www.linkedin.com/company/65892858,65892858,LinkedIn
https://www.linkedin.com/company/1455,https://www.linkedin.com/company/1455,1455,LinkedIn
https://www.linkedin.com/company/8260297,https://www.linkedin.com/company/8260297,8260297,LinkedIn
https://www.linkedin.com/company/6252241,https://www.linkedin.com/company/6252241,6252241,LinkedIn
https://www.linkedin.com/company/10988116,https://www.linkedin.com/company/10988116,10988116,LinkedIn
https://www.linkedin.com/company/1073,https://www.linkedin.com/company/1073,1073,LinkedIn
https://www.linkedin.com/company/209557,https://www.linkedin.com/company/209557,209557,LinkedIn
https://www.linkedin.com/company/2747271,https://www.linkedin.com/company/2747271,2747271,LinkedIn
https://www.linkedin.com/company/451028,https://www.linkedin.com/company/451028,451028,LinkedIn
https://www.linkedin.com/company/74885441,https://www.linkedin.com/company/74885441,74885441,LinkedIn
https://www.linkedin.com/company/2677,https://www.linkedin.com/company/2677,2677,LinkedIn
https://www.linkedin.com/company/10943464,https://www.linkedin.com/company/10943464,10943464,LinkedIn
